name,type,district,lat,lon,indoor,noise,romantic,budget_level,walk_score,alcohol_available,extrovert_friendly,tags,address,phone
석암생소금구이 성수점,restaurant,성동구,37.41406455875428,126.90048532835158,1,3,3,2,3,no,yes,"한식>육류,고기요리",서울특별시 성동구 성수동2가 300-5 1층 104호,
아쿠아산타 성수카페,cafe,성동구,37.50581434226093,127.00490264508653,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 성동구 성수동2가 271-24 1층 107호,
하이라인 성수카페,cafe,성동구,37.51972162016787,127.0537350529589,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 성동구 성수동1가 272 2층 하이라인성수카페,
비아트 성수,cafe,성동구,37.47375319286026,126.9493011874263,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 성동구 성수동2가 289-279 2층,
천상가옥,cafe,성동구,37.554085710265696,127.00580860423058,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 성동구 성수동2가 322-4 A동 3층,
무브모브 성수,cafe,성동구,37.48059583663203,127.04762851007999,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 성동구 성수동2가 301-51,
테니,cafe,성동구,37.568027046939996,126.93085302821636,1,2,3,2,3,no,no,"카페,디저트>베이커리",서울특별시 성동구 성수동2가 271-7 1층,
베통 성수 플래그십,cafe,성동구,37.454181124711155,127.05600447476671,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 성동구 성수동2가 315-47 베통 성수,
키베이커리,cafe,성동구,37.52549105585262,126.93240833224567,1,2,3,2,3,no,no,"카페,디저트>베이커리",서울특별시 성동구 성수동1가 656-95,
한입베이글 성수점,cafe,성동구,37.45986149398098,127.06169281135082,1,2,3,2,3,no,no,"카페,디저트>베이커리",서울특별시 성동구 성수동1가 656-253 1층,
왓어브레드 용산점,cafe,용산구,37.40913675121273,127.02662447073939,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 용산구 한강로3가 40-642 1층,
카페 메모리얼,cafe,용산구,37.41439619895682,127.09661738688948,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 용산구 한강로3가 40-999 아이파크몰 용산점 리빙파크 3F 도파민스테이션,
딥하우스 용산,cafe,용산구,37.47745213462304,126.9082685667531,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 용산구 한강로2가 99-5 1층,
포컬포인트,cafe,용산구,37.54954650301464,126.92151723836534,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 용산구 서계동 220-5,
오시오카페 아이파크몰용산점,cafe,용산구,37.548038594002996,127.04264518753592,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 용산구 한강로3가 40-999 아이파크몰 용산점 6층,
독립밀방 서울역,restaurant,용산구,37.466325733112264,127.06886475492017,1,3,3,2,3,no,yes,음식점>양식,서울특별시 용산구 동자동 43-205 서울역사 4층 독립밀방,
